market,lat,lon
Atlanta,33.749,-84.388
Austin,30.2672,-97.7431
Baltimore,39.2904,-76.6122
Boston,42.3601,-71.0589
Charlotte,35.2271,-80.8431
Chicago,41.8781,-87.6298
Chicago Suburbs,41.85,-88
Dallas/Ft Worth,32.7767,-96.797
Denver,39.7392,-104.9903
Detroit,42.3314,-83.0458
Houston,29.7604,-95.3698
Los Angeles,34.0522,-118.2437
Manhattan,40.7831,-73.9712
Nashville,36.1627,-86.7816
Northern New Jersey,40.7357,-74.1724
Northern Virginia,38.8048,-77.0469
Orange County,33.7175,-117.8311
Philadelphia,39.9526,-75.1652
Phoenix,33.4484,-112.074
Raleigh/Durham,35.7796,-78.6382
Salt Lake City,40.7608,-111.891
San Diego,32.7157,-117.1611
San Francisco,37.7749,-122.4194
Seattle,47.6062,-122.3321
South Bay/San Jose,37.3382,-121.8863
South Florida,26.1224,-80.1373
Southern Maryland,38.3032,-76.507
Tampa,27.9506,-82.4572
Washington D.C.,38.9072,-77.0369
